iter	Logloss
0	0.66071633
1	0.6324541285
2	0.6077461128
3	0.5866345833
4	0.5684724871
5	0.5533367213
6	0.539990929
7	0.5282661667
8	0.5166389865
9	0.5074452369
10	0.4996057095
11	0.4923219303
12	0.4857100672
13	0.4795798141
14	0.473834334
15	0.4689446787
16	0.4641938857
17	0.460362445
18	0.4564704505
19	0.4533349136
20	0.450598941
21	0.4481178849
22	0.4456368305
23	0.4437468505
24	0.4414917551
25	0.4393450271
26	0.437665203
27	0.4362634637
28	0.4348189695
29	0.4335344629
30	0.4319065464
31	0.4303458097
32	0.4290189185
33	0.4280435216
34	0.4271549566
35	0.4263088546
36	0.4252809528
37	0.4244828028
38	0.423699218
39	0.4229182866
40	0.422181429
41	0.4214773285
42	0.4209260464
43	0.4201728705
44	0.4196987044
45	0.4189954625
46	0.4185617578
47	0.4179241939
48	0.4174410918
49	0.4170589164
50	0.4165122237
51	0.4158768234
52	0.4153237441
53	0.4147604657
54	0.4142433889
55	0.4137491494
56	0.4134591124
57	0.4130655368
58	0.412692638
59	0.4123787369
60	0.411960498
61	0.4115340878
62	0.4112049835
63	0.410835387
64	0.4103343622
65	0.4099440833
66	0.4096094952
67	0.4093388476
68	0.4089959933
69	0.4085904341
70	0.4082290639
71	0.4079117212
72	0.4075945818
73	0.4072537454
74	0.4069908401
75	0.4065169267
76	0.4062565236
77	0.4059709407
78	0.4056512427
79	0.4052984225
80	0.4050847487
81	0.4048292315
82	0.4046318696
83	0.4044445051
84	0.4041710325
85	0.4039084786
86	0.4037305598
87	0.4034819276
88	0.4032812969
89	0.4029810559
90	0.4027381839
91	0.4025328176
92	0.4022632104
93	0.4019882692
94	0.4017909318
95	0.4015501324
96	0.4012726662
97	0.4010523395
98	0.4008728809
99	0.4006061895
100	0.4003542893
101	0.4001135054
102	0.3998741857
103	0.3995898985
104	0.3993956774
105	0.3990899887
106	0.3989017987
107	0.3987159878
108	0.3984933106
109	0.3983203606
110	0.3980816609
111	0.3978775465
112	0.397701424
113	0.3974675949
114	0.3973377652
115	0.3971538037
116	0.396979968
117	0.3968039089
118	0.3966534758
119	0.3964480298
120	0.3962532439
121	0.3959658818
122	0.3957640889
123	0.3955432744
124	0.3953904888
125	0.3951242949
126	0.3949571156
127	0.3948027957
128	0.3946063118
129	0.3945181443
130	0.3943721847
131	0.3940787604
132	0.3938716835
133	0.3936610376
134	0.3935127698
135	0.3933147199
136	0.393139328
137	0.3930015748
138	0.3928150691
139	0.392668251
140	0.3925362996
141	0.3924241998
142	0.392200165
143	0.392017265
144	0.3918069199
145	0.3916754991
146	0.3914512559
147	0.3913580824
148	0.3911493318
149	0.3909589117
150	0.3908179746
151	0.3906939313
152	0.3905759197
153	0.3903913582
154	0.390228332
155	0.3900256775
156	0.3898487972
157	0.3897111985
158	0.3895703092
159	0.389387038
160	0.3892999837
161	0.3890574624
162	0.3889250373
163	0.388785281
164	0.388628458
165	0.3885146033
166	0.3883866351
167	0.3882786554
168	0.3880564056
169	0.3879210905
170	0.3877622318
171	0.3875571085
172	0.3874055111
173	0.3872780997
174	0.3871642083
175	0.3870625227
176	0.3869177207
177	0.3867742193
178	0.3866505104
179	0.3864931813
180	0.3863205735
181	0.3862359377
182	0.3861048751
183	0.3859435206
184	0.3858178203
185	0.3856140531
186	0.3854749499
187	0.385322655
188	0.385222458
189	0.3850658306
190	0.3849367529
191	0.3848169293
192	0.3846497532
193	0.3844350306
194	0.3842662305
195	0.3841643079
196	0.3839121947
197	0.3838000336
198	0.3836080576
199	0.3833399047
200	0.3832670875
201	0.3831024059
202	0.3829651787
203	0.3828392469
204	0.3827138611
205	0.3826012698
206	0.3824395498
207	0.3822604134
208	0.3821104668
209	0.3819324889
210	0.3817710469
211	0.3816533794
212	0.3814693522
213	0.3812748512
214	0.381116584
215	0.3809210186
216	0.3808164749
217	0.3807094619
218	0.3805456246
219	0.3804394179
220	0.3803026679
221	0.3802050094
222	0.3799899872
223	0.379899148
224	0.3797690963
225	0.3796244117
226	0.3795039204
227	0.3793835418
228	0.3792857849
229	0.3790902783
230	0.3789512741
231	0.3788080783
232	0.3786617678
233	0.3785057548
234	0.378384228
235	0.3782504282
236	0.3781150399
237	0.3779883918
238	0.377871633
239	0.3776997154
240	0.3775629217
241	0.3774785729
242	0.3773232557
243	0.3771821766
244	0.3770839325
245	0.3768901579
246	0.376780303
247	0.376630562
248	0.3765094694
249	0.3763715039
250	0.3762611791
251	0.376092299
252	0.3759419081
253	0.3757573296
254	0.3756353162
255	0.3754907154
256	0.3753458744
257	0.375211846
258	0.3751378836
259	0.3750616045
260	0.3749086866
261	0.3747903413
262	0.3746522163
263	0.374502851
264	0.3743474368
265	0.374232568
266	0.3741095117
267	0.3739936675
268	0.3738623064
269	0.3736884836
270	0.373549969
271	0.3734287538
272	0.3733112356
273	0.3731614457
274	0.3730785463
275	0.3729070931
276	0.3727791676
277	0.3726783748
278	0.3725408723
279	0.3724690414
280	0.3723193199
281	0.3722051529
282	0.372126852
283	0.372025813
284	0.3718496241
285	0.3717058282
286	0.3715844252
287	0.3714606351
288	0.3713592018
289	0.3712555801
290	0.371162467
291	0.3710203833
292	0.3708737665
293	0.3707904317
294	0.3707265138
295	0.3705762514
296	0.3704596952
297	0.3703582069
298	0.3702486731
299	0.3701400852
300	0.3699912891
301	0.3698205572
302	0.3697096255
303	0.3695270513
304	0.3694118656
305	0.3692985095
306	0.3692129307
307	0.3690547848
308	0.3689713024
309	0.3688188971
310	0.3687434553
311	0.3685915114
312	0.3684406409
313	0.3683545944
314	0.368290688
315	0.3682088328
316	0.3681477834
317	0.3680143041
318	0.3679136031
319	0.3678083069
320	0.3677658855
321	0.367621053
322	0.3674437526
323	0.3673093006
324	0.3671618614
325	0.3670428185
326	0.3668858918
327	0.3667475101
328	0.3666333244
329	0.366504449
330	0.3663917134
331	0.3662395208
332	0.3661082103
333	0.3659895244
334	0.3658518566
335	0.3657475058
336	0.3656101834
337	0.3655153749
338	0.3653979302
339	0.3653443953
340	0.365238895
341	0.3650802366
342	0.3649498441
343	0.364824691
344	0.3647139536
345	0.3646200716
346	0.3644742994
347	0.3643542661
348	0.3642735441
349	0.3641570407
350	0.3640119376
351	0.3639261802
352	0.3637691462
353	0.3636582191
354	0.3635560802
355	0.3634283117
356	0.3633527356
357	0.3633201636
358	0.3632879429
359	0.3631908887
360	0.3630724633
361	0.3629416628
362	0.3628520103
363	0.3627391224
364	0.3625595522
365	0.3624778613
366	0.3623601483
367	0.3622924362
368	0.3622135681
369	0.3620668509
370	0.3619541582
371	0.3619231812
372	0.3617868902
373	0.3617252669
374	0.3616371886
375	0.361585043
376	0.3614846354
377	0.3613389231
378	0.3612364038
379	0.3611474253
380	0.3610935792
381	0.3609611922
382	0.3608724972
383	0.3607438539
384	0.3606448063
385	0.3605826577
386	0.3604955746
387	0.3603945879
388	0.3603011494
389	0.360187227
390	0.3600537525
391	0.3600226652
392	0.3599569103
393	0.359901448
394	0.3597762616
395	0.3596851224
396	0.3595604422
397	0.3594385194
398	0.3593134328
399	0.3592485477
400	0.3591698455
401	0.3590703764
402	0.358948798
403	0.3588576181
404	0.3587664918
405	0.3586223086
406	0.3584769548
407	0.358331645
408	0.358230119
409	0.3581378471
410	0.3580624519
411	0.3579567874
412	0.3579116117
413	0.3577918736
414	0.3577009471
415	0.3575806663
416	0.3574460452
417	0.3573462746
418	0.3572643934
419	0.3571637365
420	0.3570478464
421	0.3569026324
422	0.3568166869
423	0.3567296461
424	0.356637833
425	0.356514659
