iter	Passed	Remaining
0	8	8561
1	16	8246
2	24	8095
3	32	7980
4	39	7872
5	46	7743
6	55	7807
7	62	7745
8	70	7749
9	77	7670
10	85	7662
11	93	7685
12	100	7631
13	108	7621
14	116	7621
15	125	7688
16	132	7677
17	140	7662
18	147	7625
19	156	7644
20	164	7649
21	171	7633
22	179	7613
23	187	7634
24	194	7585
25	202	7571
26	209	7540
27	217	7558
28	226	7568
29	234	7577
30	242	7582
31	250	7589
32	258	7580
33	265	7557
34	274	7564
35	282	7555
36	289	7536
37	297	7520
38	304	7502
39	311	7484
40	319	7477
41	327	7461
42	334	7443
43	341	7426
44	349	7422
45	356	7403
46	364	7393
47	371	7377
48	379	7366
49	387	7353
50	394	7335
51	401	7319
52	408	7297
53	416	7288
54	423	7274
55	431	7277
56	439	7263
57	447	7263
58	454	7254
59	461	7235
60	469	7228
61	478	7232
62	485	7225
63	493	7218
64	500	7201
65	507	7180
66	515	7176
67	523	7172
68	530	7159
69	538	7150
70	546	7145
71	554	7142
72	561	7130
73	569	7123
74	576	7116
75	584	7112
76	593	7109
77	601	7105
78	609	7105
79	617	7102
80	625	7099
81	633	7089
82	641	7085
83	649	7083
84	658	7084
85	666	7078
86	675	7084
87	683	7079
88	691	7078
89	699	7072
90	707	7068
91	715	7061
92	723	7054
93	730	7040
94	737	7028
95	746	7028
96	753	7013
97	760	7001
98	768	6994
99	775	6983
100	783	6973
101	791	6964
102	798	6951
103	806	6945
104	814	6938
105	821	6928
106	829	6920
107	836	6907
108	844	6899
109	851	6889
110	858	6878
111	866	6869
112	874	6862
113	881	6854
114	889	6844
115	896	6832
116	904	6824
117	912	6820
118	920	6817
119	928	6812
120	937	6806
121	944	6799
122	952	6793
123	960	6782
124	967	6773
125	975	6768
126	983	6758
127	990	6748
128	997	6737
129	1006	6733
130	1013	6725
131	1021	6716
132	1028	6707
133	1036	6701
134	1044	6690
135	1051	6679
136	1059	6671
137	1067	6666
138	1075	6660
139	1083	6653
140	1090	6645
141	1098	6635
142	1106	6631
143	1114	6622
144	1121	6613
145	1129	6604
146	1138	6605
147	1145	6596
148	1153	6587
149	1161	6579
150	1168	6569
151	1175	6559
152	1183	6550
153	1190	6540
154	1199	6539
155	1207	6531
156	1215	6526
157	1222	6516
158	1242	6569
159	1249	6560
160	1257	6553
161	1265	6546
162	1273	6538
163	1280	6527
164	1288	6518
165	1295	6508
166	1303	6500
167	1310	6490
168	1319	6487
169	1327	6479
170	1335	6473
171	1343	6466
172	1350	6458
173	1358	6447
174	1366	6440
175	1374	6434
176	1381	6424
177	1389	6415
178	1397	6407
179	1404	6397
180	1412	6390
181	1420	6382
182	1427	6374
183	1436	6369
184	1444	6363
185	1452	6356
186	1459	6347
187	1467	6337
188	1474	6328
189	1482	6321
190	1490	6314
191	1498	6307
192	1507	6301
193	1515	6295
194	1522	6285
195	1530	6280
196	1538	6270
197	1545	6261
198	1553	6254
199	1562	6248
200	1569	6239
201	1576	6229
202	1583	6218
203	1591	6208
204	1599	6204
205	1607	6195
206	1614	6185
207	1622	6177
208	1630	6170
209	1637	6161
210	1645	6154
211	1653	6145
212	1661	6138
213	1669	6132
214	1677	6124
215	1684	6114
